id,label,group
Other,Other,Other
Quiz_29f7f9b2b9dd429aabc4e864c58b43c2_1,Quiz,Quiz
Quiz_3d0b798ccf99412bac66ae8d4fee818b_1,Quiz,Quiz
Quiz_45502d4d5e854ee99b0ffaa70e0aae34_1,Quiz,Quiz
Quiz_4ba72451ef224a54a75481363009d58e_1,Quiz,Quiz
Quiz_72089f9130654b6cb489b81126a56f71_1,Quiz,Quiz
Quiz_a1738791ea634978b046a644f2a4e02a_1,Quiz,Quiz
Quiz_bdf831fafb714e45a22eec3b4a4b23d9_1,Quiz,Quiz
Quiz_e064cc20535545c8b8f88c6404439504_1,Quiz,Quiz
Signin,Signin,Signin
Signout,Signout,Signout
Video_21e334d5ba354a7583e78dafcfed586f_1,Video,Video
Video_21e334d5ba354a7583e78dafcfed586f_2,Video,Video
Video_21e334d5ba354a7583e78dafcfed586f_3,Video,Video
Video_21e334d5ba354a7583e78dafcfed586f_6,Video,Video
Video_21e334d5ba354a7583e78dafcfed586f_7,Video,Video
Video_21e334d5ba354a7583e78dafcfed586f_8,Video,Video
Video_3d0b798ccf99412bac66ae8d4fee818b_1,Video,Video
Video_3d0b798ccf99412bac66ae8d4fee818b_2,Video,Video
Video_4c4949ba9d1640e38e7076ad373fd9e3_1,Video,Video
Video_6a8605fe64e44030b7e9af5d2497ba41_1,Video,Video
Video_6a8605fe64e44030b7e9af5d2497ba41_2,Video,Video
Video_6a8605fe64e44030b7e9af5d2497ba41_3,Video,Video
Video_9b92ce1234e14f5ea4f1fb2c4e21cf75_1,Video,Video
Video_9b92ce1234e14f5ea4f1fb2c4e21cf75_2,Video,Video
Video_9b92ce1234e14f5ea4f1fb2c4e21cf75_3,Video,Video
Video_9b92ce1234e14f5ea4f1fb2c4e21cf75_4,Video,Video
Video_9b92ce1234e14f5ea4f1fb2c4e21cf75_5,Video,Video
Video_b100966b394948599e942637f5dd35cd_1,Video,Video
Video_b100966b394948599e942637f5dd35cd_3,Video,Video
Video_b2e7364b9e5d4167bf2bc8951d203eee_1,Video,Video
Video_b2e7364b9e5d4167bf2bc8951d203eee_2,Video,Video
Video_b2e7364b9e5d4167bf2bc8951d203eee_3,Video,Video
Video_b2e7364b9e5d4167bf2bc8951d203eee_4,Video,Video
Video_b2e7364b9e5d4167bf2bc8951d203eee_5,Video,Video
Video_b2e7364b9e5d4167bf2bc8951d203eee_6,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_1,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_10,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_11,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_2,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_3,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_4,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_5,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_6,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_7,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_8,Video,Video
Video_d2e9ea9379474b03819cc498aa1eedec_9,Video,Video
